Timestamp,Batch,Loss,Avg_Reward,Buffer_Size,Epsilon
09:05:32,1,4.7478,3.6828,32,0.9999
,CHECKPOINT BATCH 5,3.9026,,,
,CHECKPOINT BATCH 10,4.3761,,,
,CHECKPOINT BATCH 15,3.6736,,,
,CHECKPOINT BATCH 20,3.3720,,,
,CHECKPOINT BATCH 25,2.9671,,,
09:05:35,26,5.6067,2.4465,57,0.9975
,CHECKPOINT BATCH 30,2.5254,,,
09:05:37,33,2.9354,2.1898,64,0.9969
,CHECKPOINT BATCH 35,4.5071,,,
,CHECKPOINT BATCH 40,1.7213,,,
09:05:39,42,2.2967,1.9651,73,0.9960
,CHECKPOINT BATCH 45,3.3723,,,
,CHECKPOINT BATCH 50,1.9099,,,
09:05:42,51,1.9709,1.7823,82,0.9952
,CHECKPOINT BATCH 55,2.4232,,,
09:05:44,60,2.4565,1.6005,91,0.9943
,CHECKPOINT BATCH 60,2.4565,,,
,CHECKPOINT BATCH 65,0.9592,,,
,CHECKPOINT BATCH 70,1.5122,,,
09:05:47,74,1.5778,1.4225,105,0.9930
,CHECKPOINT BATCH 75,2.2548,,,
,CHECKPOINT BATCH 80,1.0995,,,
,CHECKPOINT BATCH 85,1.6136,,,
09:05:49,86,2.4420,0.7725,117,0.9919
,CHECKPOINT BATCH 90,2.8161,,,
09:05:53,94,2.0669,0.4325,125,0.9911
,CHECKPOINT BATCH 95,3.6568,,,
,CHECKPOINT BATCH 100,2.5955,,,
09:05:57,103,1.7925,0.9925,134,0.9903
,CHECKPOINT BATCH 105,0.6603,,,
09:06:00,108,4.9669,1.1295,139,0.9898
,CHECKPOINT BATCH 110,3.5063,,,
09:06:02,113,3.3914,1.1195,144,0.9893
,CHECKPOINT BATCH 115,0.4926,,,
,CHECKPOINT BATCH 120,1.8400,,,
09:06:05,123,3.6350,1.2215,154,0.9884
,CHECKPOINT BATCH 125,1.9388,,,
09:06:07,130,5.9659,1.3580,161,0.9877
,CHECKPOINT BATCH 130,5.9659,,,
09:06:10,135,3.7184,1.3475,166,0.9873
,CHECKPOINT BATCH 135,3.7184,,,
,CHECKPOINT BATCH 140,3.4111,,,
09:06:12,144,5.1800,1.3170,175,0.9864
,CHECKPOINT BATCH 145,1.0964,,,
,CHECKPOINT BATCH 150,3.2733,,,
,CHECKPOINT BATCH 155,0.5752,,,
09:06:14,156,3.9605,1.3075,187,0.9853
,CHECKPOINT BATCH 160,1.0396,,,
,CHECKPOINT BATCH 165,2.1255,,,
09:06:16,168,0.5855,1.3090,199,0.9842
,CHECKPOINT BATCH 170,1.7412,,,
,CHECKPOINT BATCH 175,3.9830,,,
,CHECKPOINT BATCH 180,3.6084,,,
09:06:19,182,1.2982,2.0545,213,0.9829
,CHECKPOINT BATCH 185,2.6929,,,
,CHECKPOINT BATCH 190,3.9918,,,
,CHECKPOINT BATCH 195,1.5350,,,
09:06:21,199,2.2143,2.8050,230,0.9813
,CHECKPOINT BATCH 200,5.0091,,,
,CHECKPOINT BATCH 205,0.2291,,,
09:06:23,208,2.8529,2.3610,239,0.9804
,CHECKPOINT BATCH 210,1.4065,,,
,CHECKPOINT BATCH 215,3.8652,,,
09:06:26,216,1.9956,2.2235,247,0.9797
,CHECKPOINT BATCH 220,3.3785,,,
09:06:28,221,2.3050,2.3900,252,0.9792
,CHECKPOINT BATCH 225,2.9288,,,
,CHECKPOINT BATCH 230,4.2865,,,
