Timestamp,Steps,Avg_Reward_50,Epsilon,Done_Count
17:59:36,44,2.1620,0.9959,0
17:59:41,90,0.6690,0.9916,0
17:59:46,136,2.7480,0.9873,0
17:59:51,182,0.6940,0.9830,0
17:59:56,228,0.0920,0.9787,0
18:00:01,274,0.0920,0.9744,0
18:00:06,320,0.0930,0.9702,0
18:00:11,366,0.3970,0.9660,0
18:00:16,412,2.7650,0.9617,0
18:00:21,458,2.5890,0.9576,0
18:00:26,504,1.2420,0.9534,0
18:00:31,538,0.2890,0.9503,0
18:00:36,584,0.6710,0.9462,0
18:00:41,630,2.1750,0.9421,0
18:00:46,676,1.5740,0.9380,0
18:00:51,722,4.9160,0.9339,0
18:00:56,768,3.9330,0.9299,0
18:01:01,814,-0.0120,0.9258,0
18:01:06,860,0.3390,0.9218,0
18:01:12,906,0.2890,0.9178,0
18:01:17,952,-0.0920,0.9138,0
18:01:22,998,0.2090,0.9099,0
18:01:27,1032,0.1390,0.9069,0
18:01:32,1065,0.0940,0.9041,0
18:01:37,1111,2.1780,0.9002,0
18:01:42,1157,4.1440,0.8963,0
18:01:47,1191,0.7480,0.8934,0
18:01:52,1237,3.8440,0.8895,0
18:01:57,1283,0.3930,0.8857,0
18:02:02,1329,2.4060,0.8819,0
18:02:07,1364,3.2710,0.8790,0
18:02:12,1410,2.1830,0.8751,0
18:02:17,1456,9.9720,0.8714,0
18:02:22,1490,2.6020,0.8686,0
18:02:27,1536,4.2960,0.8648,0
18:02:33,1582,2.0010,0.8611,0
18:02:38,1628,1.5700,0.8574,0
18:02:43,1674,2.9450,0.8536,0
18:02:48,1720,1.3760,0.8500,0
18:02:53,1766,0.3930,0.8463,0
18:02:58,1812,0.0530,0.8426,0
18:03:03,1858,0.5120,0.8390,0
18:03:08,1904,0.8310,0.8354,0
18:03:13,1950,0.2150,0.8318,0
18:03:18,1995,-0.0900,0.8283,0
18:03:23,2041,-0.0920,0.8247,0
18:03:28,2087,-0.0830,0.8211,0
18:03:33,2120,1.5780,0.8186,0
18:03:38,2166,2.7840,0.8151,0
18:03:45,2212,5.0150,0.8116,0
18:03:50,2258,1.5730,0.8081,0
18:03:55,2304,2.8650,0.8046,0
18:04:00,2350,2.9790,0.8011,0
18:04:05,2384,2.5380,0.7986,0
18:04:10,2429,6.1080,0.7952,0
18:04:15,2463,4.6860,0.7927,0
18:04:20,2509,4.0280,0.7893,0
18:04:25,2543,3.0490,0.7868,0
18:04:30,2588,1.2630,0.7835,0
18:04:35,2634,0.3140,0.7801,0
18:04:40,2680,2.9850,0.7767,0
18:04:45,2713,3.4620,0.7743,0
18:04:50,2759,2.4790,0.7710,0
18:04:55,2805,3.2830,0.7677,0
18:05:01,2839,0.6410,0.7653,0
18:05:06,2885,1.7400,0.7620,0
18:05:11,2931,1.7430,0.7587,0
18:05:16,2977,7.6160,0.7555,0
18:05:21,3011,3.2030,0.7531,0
18:05:26,3057,7.2190,0.7498,0
18:05:31,3090,3.4800,0.7475,0
18:05:36,3136,3.9910,0.7443,0
18:05:41,3181,5.5810,0.7412,0
18:05:46,3227,3.9730,0.7381,0
18:05:51,3273,0.0880,0.7349,0
18:05:56,3318,0.0820,0.7318,0
18:06:01,3363,0.6860,0.7288,0
18:06:06,3409,0.0930,0.7256,0
18:06:11,3454,0.0960,0.7226,0
18:06:16,3499,0.8950,0.7196,0
18:06:21,3544,0.3180,0.7166,0
18:06:26,3589,0.5440,0.7136,0
18:06:31,3634,0.3920,0.7106,0
18:06:36,3679,0.2460,0.7076,0
18:06:42,3725,0.3320,0.7046,0
18:06:47,3770,0.2510,0.7017,0
