Timestamp,Batch,Loss,Avg_Reward,Buffer_Size,Epsilon
09:04:46,1,0.8902,0.1125,32,0.9999
,CHECKPOINT BATCH 5,0.3313,,,
,CHECKPOINT BATCH 10,0.1385,,,
,CHECKPOINT BATCH 15,0.0886,,,
,CHECKPOINT BATCH 20,0.1341,,,
,CHECKPOINT BATCH 25,0.0534,,,
09:04:48,27,0.2283,0.0345,58,0.9974
,CHECKPOINT BATCH 30,0.2431,,,
,CHECKPOINT BATCH 35,0.0320,,,
09:04:50,37,0.5341,0.7132,68,0.9965
,CHECKPOINT BATCH 40,0.9901,,,
,CHECKPOINT BATCH 45,0.5022,,,
,CHECKPOINT BATCH 50,0.9422,,,
09:04:53,51,0.9429,1.0030,82,0.9952
,CHECKPOINT BATCH 55,0.9246,,,
,CHECKPOINT BATCH 60,1.4180,,,
,CHECKPOINT BATCH 65,0.4852,,,
09:04:55,69,0.9590,0.8945,100,0.9935
,CHECKPOINT BATCH 70,0.9269,,,
