Timestamp,Steps,Avg_Reward_50,Epsilon,Done_Count
08:07:20,40,4.1690,0.9963,0
08:07:25,84,1.5260,0.9921,0
08:07:30,105,3.2760,0.9902,0
08:07:37,121,4.4970,0.9887,0
08:07:42,140,1.7880,0.9869,0
08:07:47,181,1.1250,0.9831,0
08:07:52,222,0.2200,0.9792,0
08:07:58,254,0.0920,0.9763,0
08:08:03,273,3.6430,0.9745,0
08:08:08,312,0.3810,0.9709,0
08:08:13,354,1.2890,0.9670,0
08:08:18,396,1.2830,0.9632,0
08:08:25,433,4.1560,0.9598,0
08:08:30,450,2.0860,0.9583,0
08:08:35,491,-0.0820,0.9546,0
08:08:40,531,-0.0440,0.9510,0
08:08:45,572,-0.0010,0.9473,0
08:08:50,610,-0.0370,0.9439,0
08:08:57,624,2.3870,0.9426,0
08:09:03,640,2.0800,0.9412,0
08:09:08,654,2.0820,0.9399,0
08:09:13,689,6.3460,0.9368,0
08:09:18,707,0.8670,0.9352,0
08:09:23,738,2.0860,0.9325,0
08:09:28,765,-0.0510,0.9301,0
08:09:33,796,-0.0610,0.9274,0
08:09:38,814,-0.0150,0.9258,0
08:09:43,849,0.5980,0.9228,0
08:09:48,869,0.6450,0.9210,0
08:09:53,905,0.5070,0.9179,0
08:09:58,941,6.0040,0.9148,0
08:10:05,961,5.4240,0.9130,0
08:10:11,991,4.7870,0.9105,0
08:10:16,1028,3.2660,0.9073,0
08:10:21,1069,3.0330,0.9038,1
08:10:27,1077,3.0060,0.9031,0
08:10:33,1104,1.5320,0.9008,0
08:10:38,1143,5.4000,0.8975,0
08:10:43,1162,4.4950,0.8959,0
08:10:48,1202,0.5220,0.8925,0
08:10:53,1235,5.3960,0.8897,0
08:11:00,1250,1.4790,0.8885,0
08:11:06,1282,6.1440,0.8858,0
08:11:14,1303,1.4760,0.8840,0
08:11:20,1328,4.5500,0.8819,0
08:11:25,1364,5.5450,0.8790,0
08:11:30,1382,4.8230,0.8775,0
08:11:35,1420,3.5730,0.8743,0
08:11:40,1453,3.4750,0.8716,0
08:11:45,1479,0.7040,0.8695,0
08:11:50,1515,0.6590,0.8665,0
08:11:55,1557,-0.0840,0.8631,0
08:12:02,1573,3.2900,0.8618,0
08:12:09,1599,4.5750,0.8597,0
08:12:14,1618,4.8950,0.8582,0
08:12:19,1653,4.1820,0.8553,0
08:12:26,1677,2.4060,0.8534,0
08:12:31,1695,-0.0320,0.8520,0
08:12:36,1735,-0.0790,0.8488,0
08:12:41,1753,4.2900,0.8473,0
08:12:47,1788,1.5520,0.8445,0
08:12:53,1818,1.4450,0.8422,0
08:12:58,1834,2.4620,0.8409,0
08:13:03,1863,2.0150,0.8386,0
08:13:08,1893,0.9650,0.8362,0
08:13:13,1924,0.1400,0.8338,0
08:13:19,1957,0.9920,0.8312,0
08:13:25,1983,2.3710,0.8292,0
08:13:30,1998,2.6910,0.8280,0
08:13:36,2025,0.8580,0.8259,0
08:13:41,2063,5.3530,0.8230,0
08:13:46,2104,2.1880,0.8198,0
08:13:54,2137,4.2090,0.8173,0
08:13:59,2175,1.2090,0.8144,0
08:14:05,2201,5.1650,0.8124,0
08:14:11,2228,10.3090,0.8103,0
08:14:17,2247,0.4030,0.8089,0
08:14:22,2283,0.8420,0.8062,0
08:14:28,2316,-0.0240,0.8037,0
08:14:33,2349,4.9790,0.8012,0
08:14:39,2373,4.8010,0.7994,0
08:14:44,2388,3.6680,0.7983,0
08:14:49,2401,1.5970,0.7973,0
08:14:54,2440,3.0000,0.7944,0
08:14:59,2482,1.1230,0.7913,0
08:15:05,2507,1.4590,0.7894,0
08:15:12,2535,8.8420,0.7873,0
08:15:17,2563,3.7890,0.7853,0
08:15:22,2604,0.0030,0.7823,0
08:15:27,2643,-0.0370,0.7794,0
08:15:32,2686,0.6690,0.7763,1
08:15:38,2693,-0.0080,0.7758,0
08:15:43,2709,1.2930,0.7746,0
08:15:48,2740,0.5070,0.7724,0
08:15:54,2757,2.1620,0.7712,0
08:16:00,2788,7.8190,0.7689,0
08:16:05,2823,2.9640,0.7664,0
08:16:10,2840,7.8060,0.7652,0
08:16:16,2859,1.8090,0.7638,0
08:16:21,2903,-0.0030,0.7607,0
08:16:26,2944,1.5890,0.7578,0
08:16:31,2969,4.7840,0.7560,0
08:16:36,3010,2.6910,0.7531,0
08:16:41,3049,0.0520,0.7504,0
08:16:46,3078,0.0590,0.7484,0
08:16:52,3103,0.0980,0.7466,0
08:16:57,3130,0.1450,0.7448,0
08:17:02,3159,0.1220,0.7427,0
08:17:07,3186,0.0920,0.7409,0
08:17:12,3213,0.0590,0.7390,0
08:17:17,3250,-0.0030,0.7365,0
08:17:22,3290,-0.0360,0.7337,0
08:17:27,3320,-0.0560,0.7317,0
08:17:32,3355,-0.0670,0.7293,0
08:17:38,3395,0.2210,0.7266,0
08:17:43,3438,-0.0820,0.7237,0
08:17:48,3457,3.2910,0.7224,0
08:17:55,3497,6.4890,0.7197,0
08:18:00,3515,6.9720,0.7185,0
08:18:05,3543,3.3750,0.7166,0
08:18:10,3573,0.3660,0.7147,0
08:18:17,3602,2.4680,0.7127,0
08:18:22,3622,3.5920,0.7114,0
08:18:27,3658,2.4020,0.7090,0
08:18:32,3697,2.3350,0.7065,0
08:18:39,3732,2.6460,0.7042,0
08:18:44,3746,6.3140,0.7033,0
08:18:49,3762,1.0100,0.7022,0
08:18:54,3787,1.0510,0.7006,0
08:18:59,3825,4.2610,0.6981,0
08:19:04,3845,1.3510,0.6968,0
08:19:09,3879,2.3290,0.6946,0
08:19:14,3915,1.5820,0.6923,0
08:19:21,3946,2.9580,0.6903,0
08:19:26,3964,2.5120,0.6892,0
08:19:31,3992,2.3380,0.6874,0
08:19:36,4031,4.6070,0.6849,0
08:19:41,4059,6.6510,0.6831,0
08:19:46,4094,0.1800,0.6809,0
08:19:51,4128,0.1700,0.6788,0
08:19:56,4165,0.2720,0.6764,0
08:20:01,4202,0.1110,0.6741,0
08:20:06,4236,0.0030,0.6720,0
08:20:11,4268,-0.0560,0.6700,0
