Timestamp,Batch,Loss,Avg_Reward,Buffer_Size,Epsilon
17:59:35,1,3.7102,2.2875,32,0.9999
,CHECKPOINT BATCH 5,2.4589,,,
,CHECKPOINT BATCH 10,2.9431,,,
,CHECKPOINT BATCH 15,1.6637,,,
,CHECKPOINT BATCH 20,1.6972,,,
17:59:37,23,1.6066,2.0759,54,0.9978
,CHECKPOINT BATCH 25,1.8467,,,
,CHECKPOINT BATCH 30,1.0601,,,
,CHECKPOINT BATCH 35,0.6519,,,
,CHECKPOINT BATCH 40,2.4755,,,
17:59:39,42,2.5089,1.6397,73,0.9960
,CHECKPOINT BATCH 45,0.3818,,,
,CHECKPOINT BATCH 50,0.1712,,,
,CHECKPOINT BATCH 55,2.8035,,,
,CHECKPOINT BATCH 60,1.8275,,,
17:59:41,61,1.0183,1.5473,92,0.9942
,CHECKPOINT BATCH 65,0.5059,,,
,CHECKPOINT BATCH 70,1.4219,,,
,CHECKPOINT BATCH 75,1.8636,,,
17:59:43,80,0.5163,1.4555,111,0.9924
,CHECKPOINT BATCH 80,0.5163,,,
,CHECKPOINT BATCH 85,0.4679,,,
,CHECKPOINT BATCH 90,1.8956,,,
,CHECKPOINT BATCH 95,0.9758,,,
17:59:45,99,0.7576,1.9085,130,0.9906
,CHECKPOINT BATCH 100,0.6574,,,
,CHECKPOINT BATCH 105,2.3218,,,
,CHECKPOINT BATCH 110,2.0582,,,
,CHECKPOINT BATCH 115,0.9970,,,
17:59:47,118,1.3142,1.7015,149,0.9889
,CHECKPOINT BATCH 120,0.7706,,,
,CHECKPOINT BATCH 125,1.4583,,,
,CHECKPOINT BATCH 130,1.9390,,,
,CHECKPOINT BATCH 135,0.5456,,,
17:59:49,137,1.4234,1.6445,168,0.9871
,CHECKPOINT BATCH 140,2.3742,,,
,CHECKPOINT BATCH 145,0.5128,,,
,CHECKPOINT BATCH 150,1.8853,,,
,CHECKPOINT BATCH 155,2.3706,,,
17:59:51,156,1.0760,1.7380,187,0.9853
,CHECKPOINT BATCH 160,1.4162,,,
,CHECKPOINT BATCH 165,0.9236,,,
,CHECKPOINT BATCH 170,1.8512,,,
17:59:54,175,1.4627,1.6810,206,0.9835
,CHECKPOINT BATCH 175,1.4627,,,
,CHECKPOINT BATCH 180,1.4853,,,
,CHECKPOINT BATCH 185,1.4377,,,
,CHECKPOINT BATCH 190,1.3920,,,
17:59:56,194,1.5920,1.1720,225,0.9817
,CHECKPOINT BATCH 195,1.4432,,,
,CHECKPOINT BATCH 200,0.2093,,,
,CHECKPOINT BATCH 205,1.7994,,,
,CHECKPOINT BATCH 210,1.1032,,,
17:59:58,213,0.6901,0.4010,244,0.9800
,CHECKPOINT BATCH 215,0.3787,,,
,CHECKPOINT BATCH 220,0.9930,,,
,CHECKPOINT BATCH 225,1.6079,,,
,CHECKPOINT BATCH 230,1.2459,,,
18:00:00,232,2.0025,0.4010,263,0.9782
,CHECKPOINT BATCH 235,2.4858,,,
,CHECKPOINT BATCH 240,0.7754,,,
,CHECKPOINT BATCH 245,2.0377,,,
,CHECKPOINT BATCH 250,1.5543,,,
18:00:02,251,1.0437,0.1000,282,0.9765
,CHECKPOINT BATCH 255,0.7243,,,
,CHECKPOINT BATCH 260,1.4423,,,
,CHECKPOINT BATCH 265,2.4933,,,
18:00:04,270,1.4573,0.1000,301,0.9747
,CHECKPOINT BATCH 270,1.4573,,,
,CHECKPOINT BATCH 275,2.8860,,,
,CHECKPOINT BATCH 280,1.6307,,,
,CHECKPOINT BATCH 285,2.6617,,,
18:00:06,289,4.1401,0.1005,320,0.9729
,CHECKPOINT BATCH 290,2.3099,,,
,CHECKPOINT BATCH 295,2.4813,,,
,CHECKPOINT BATCH 300,1.9966,,,
,CHECKPOINT BATCH 305,3.1568,,,
18:00:08,308,2.4734,0.1005,339,0.9712
,CHECKPOINT BATCH 310,3.7979,,,
,CHECKPOINT BATCH 315,3.3088,,,
,CHECKPOINT BATCH 320,3.7491,,,
,CHECKPOINT BATCH 325,1.9739,,,
18:00:10,327,4.2553,0.1015,358,0.9694
,CHECKPOINT BATCH 330,2.9261,,,
,CHECKPOINT BATCH 335,3.1110,,,
,CHECKPOINT BATCH 340,2.5651,,,
,CHECKPOINT BATCH 345,2.9211,,,
18:00:12,346,1.8836,0.8830,377,0.9677
,CHECKPOINT BATCH 350,2.3718,,,
,CHECKPOINT BATCH 355,2.6544,,,
,CHECKPOINT BATCH 360,1.7978,,,
18:00:14,365,2.1298,1.0905,396,0.9660
,CHECKPOINT BATCH 365,2.1298,,,
,CHECKPOINT BATCH 370,3.1039,,,
,CHECKPOINT BATCH 375,2.8080,,,
,CHECKPOINT BATCH 380,3.9097,,,
18:00:16,384,2.6649,1.5985,415,0.9642
,CHECKPOINT BATCH 385,4.2540,,,
,CHECKPOINT BATCH 390,2.6171,,,
,CHECKPOINT BATCH 395,3.7080,,,
,CHECKPOINT BATCH 400,4.2404,,,
18:00:18,403,2.9130,2.3830,434,0.9625
,CHECKPOINT BATCH 405,4.5383,,,
,CHECKPOINT BATCH 410,3.8453,,,
,CHECKPOINT BATCH 415,2.0647,,,
,CHECKPOINT BATCH 420,3.1410,,,
18:00:21,422,2.7246,2.8375,453,0.9607
,CHECKPOINT BATCH 425,3.1649,,,
,CHECKPOINT BATCH 430,4.1162,,,
,CHECKPOINT BATCH 435,3.0830,,,
,CHECKPOINT BATCH 440,3.7237,,,
18:00:23,441,4.8001,2.2215,472,0.9590
,CHECKPOINT BATCH 445,2.4736,,,
,CHECKPOINT BATCH 450,2.9482,,,
,CHECKPOINT BATCH 455,3.6199,,,
18:00:25,460,4.2794,2.4630,491,0.9573
,CHECKPOINT BATCH 460,4.2794,,,
,CHECKPOINT BATCH 465,2.4032,,,
,CHECKPOINT BATCH 470,2.6079,,,
,CHECKPOINT BATCH 475,3.0602,,,
18:00:27,479,4.9444,2.2165,510,0.9556
,CHECKPOINT BATCH 480,2.9458,,,
,CHECKPOINT BATCH 485,4.1808,,,
,CHECKPOINT BATCH 490,3.7029,,,
,CHECKPOINT BATCH 495,3.3659,,,
18:00:29,498,5.7114,1.5335,529,0.9538
,CHECKPOINT BATCH 500,2.7521,,,
18:00:31,505,3.7855,1.0825,536,0.9532
,CHECKPOINT BATCH 505,3.7855,,,
,CHECKPOINT BATCH 510,2.8223,,,
,CHECKPOINT BATCH 515,4.4030,,,
,CHECKPOINT BATCH 520,4.7390,,,
18:00:33,524,3.9105,0.9875,555,0.9515
,CHECKPOINT BATCH 525,3.0808,,,
,CHECKPOINT BATCH 530,2.9133,,,
,CHECKPOINT BATCH 535,3.0175,,,
,CHECKPOINT BATCH 540,4.0865,,,
18:00:35,543,4.2039,1.0445,574,0.9498
,CHECKPOINT BATCH 545,4.4705,,,
,CHECKPOINT BATCH 550,3.8088,,,
,CHECKPOINT BATCH 555,4.4375,,,
,CHECKPOINT BATCH 560,8.1139,,,
18:00:37,562,4.0378,0.8060,593,0.9481
,CHECKPOINT BATCH 565,3.6820,,,
,CHECKPOINT BATCH 570,4.0669,,,
,CHECKPOINT BATCH 575,4.6217,,,
,CHECKPOINT BATCH 580,3.9558,,,
18:00:39,581,5.0197,1.0515,612,0.9464
,CHECKPOINT BATCH 585,1.9640,,,
,CHECKPOINT BATCH 590,4.7833,,,
,CHECKPOINT BATCH 595,4.3347,,,
18:00:41,600,5.0051,1.4480,631,0.9447
,CHECKPOINT BATCH 600,5.0051,,,
,CHECKPOINT BATCH 605,4.4376,,,
,CHECKPOINT BATCH 610,3.7407,,,
,CHECKPOINT BATCH 615,5.4191,,,
18:00:43,619,12.7529,1.4550,650,0.9430
,CHECKPOINT BATCH 620,7.3208,,,
,CHECKPOINT BATCH 625,5.9150,,,
,CHECKPOINT BATCH 630,2.4006,,,
,CHECKPOINT BATCH 635,5.5676,,,
18:00:46,638,4.7016,1.6050,669,0.9413
,CHECKPOINT BATCH 640,3.1892,,,
,CHECKPOINT BATCH 645,5.3433,,,
,CHECKPOINT BATCH 650,4.9181,,,
,CHECKPOINT BATCH 655,5.2220,,,
18:00:48,657,4.8922,2.4875,688,0.9396
,CHECKPOINT BATCH 660,4.0897,,,
,CHECKPOINT BATCH 665,4.9893,,,
,CHECKPOINT BATCH 670,3.9248,,,
,CHECKPOINT BATCH 675,5.5574,,,
18:00:50,676,8.0651,3.0395,707,0.9379
,CHECKPOINT BATCH 680,5.6867,,,
,CHECKPOINT BATCH 685,4.1175,,,
,CHECKPOINT BATCH 690,6.5406,,,
18:00:52,695,8.4846,3.5600,726,0.9362
,CHECKPOINT BATCH 695,8.4846,,,
,CHECKPOINT BATCH 700,8.4235,,,
,CHECKPOINT BATCH 705,3.3620,,,
,CHECKPOINT BATCH 710,3.2055,,,
18:00:54,714,6.0868,5.0155,745,0.9345
,CHECKPOINT BATCH 715,4.8766,,,
,CHECKPOINT BATCH 720,3.7860,,,
,CHECKPOINT BATCH 725,4.5337,,,
,CHECKPOINT BATCH 730,4.2978,,,
18:00:56,733,5.9322,4.7785,764,0.9329
,CHECKPOINT BATCH 735,2.7006,,,
,CHECKPOINT BATCH 740,4.4425,,,
,CHECKPOINT BATCH 745,3.1188,,,
,CHECKPOINT BATCH 750,3.6118,,,
18:00:58,752,2.9239,3.9370,783,0.9312
,CHECKPOINT BATCH 755,3.8807,,,
,CHECKPOINT BATCH 760,3.7804,,,
,CHECKPOINT BATCH 765,3.5464,,,
,CHECKPOINT BATCH 770,3.2147,,,
18:01:00,771,3.9640,2.9925,802,0.9295
,CHECKPOINT BATCH 775,3.6348,,,
,CHECKPOINT BATCH 780,5.2474,,,
,CHECKPOINT BATCH 785,6.3657,,,
18:01:02,790,4.9088,1.9730,821,0.9278
,CHECKPOINT BATCH 790,4.9088,,,
,CHECKPOINT BATCH 795,4.0976,,,
,CHECKPOINT BATCH 800,2.9830,,,
,CHECKPOINT BATCH 805,4.5523,,,
18:01:04,809,3.6263,0.5370,840,0.9262
,CHECKPOINT BATCH 810,6.7884,,,
,CHECKPOINT BATCH 815,4.3197,,,
,CHECKPOINT BATCH 820,2.9669,,,
,CHECKPOINT BATCH 825,3.4303,,,
18:01:06,828,4.0583,0.1505,859,0.9245
,CHECKPOINT BATCH 830,2.9421,,,
,CHECKPOINT BATCH 835,2.7842,,,
,CHECKPOINT BATCH 840,2.8529,,,
,CHECKPOINT BATCH 845,3.7304,,,
18:01:08,847,3.4601,0.1930,878,0.9228
,CHECKPOINT BATCH 850,2.0745,,,
,CHECKPOINT BATCH 855,2.7130,,,
,CHECKPOINT BATCH 860,4.1189,,,
,CHECKPOINT BATCH 865,1.6093,,,
18:01:11,866,3.3540,0.3450,897,0.9212
,CHECKPOINT BATCH 870,3.1258,,,
,CHECKPOINT BATCH 875,2.7622,,,
,CHECKPOINT BATCH 880,2.3478,,,
18:01:13,885,2.6531,0.2990,916,0.9195
,CHECKPOINT BATCH 885,2.6531,,,
,CHECKPOINT BATCH 890,1.5718,,,
,CHECKPOINT BATCH 895,2.7669,,,
,CHECKPOINT BATCH 900,1.8754,,,
18:01:15,904,3.4340,0.2160,935,0.9179
,CHECKPOINT BATCH 905,3.4223,,,
,CHECKPOINT BATCH 910,1.9236,,,
,CHECKPOINT BATCH 915,3.1915,,,
,CHECKPOINT BATCH 920,2.0389,,,
18:01:17,923,1.8540,0.1205,954,0.9162
,CHECKPOINT BATCH 925,2.1837,,,
,CHECKPOINT BATCH 930,2.5750,,,
,CHECKPOINT BATCH 935,3.3139,,,
,CHECKPOINT BATCH 940,1.2913,,,
18:01:19,942,1.5446,0.0520,973,0.9146
,CHECKPOINT BATCH 945,2.4554,,,
,CHECKPOINT BATCH 950,2.0384,,,
,CHECKPOINT BATCH 955,2.7889,,,
,CHECKPOINT BATCH 960,1.9043,,,
18:01:21,961,2.5306,0.0505,992,0.9130
,CHECKPOINT BATCH 965,3.4169,,,
,CHECKPOINT BATCH 970,2.0502,,,
18:01:24,973,1.5164,0.0545,1004,0.9119
,CHECKPOINT BATCH 975,2.3521,,,
,CHECKPOINT BATCH 980,3.4849,,,
,CHECKPOINT BATCH 985,1.6740,,,
,CHECKPOINT BATCH 990,3.5302,,,
18:01:26,992,3.0279,0.1420,1023,0.9103
,CHECKPOINT BATCH 995,2.3201,,,
,CHECKPOINT BATCH 1000,2.1575,,,
,CHECKPOINT BATCH 1005,2.7172,,,
,CHECKPOINT BATCH 1010,2.3043,,,
18:01:28,1011,2.5246,0.1540,1042,0.9087
,CHECKPOINT BATCH 1015,3.2254,,,
18:01:30,1019,3.7714,0.1590,1050,0.9080
,CHECKPOINT BATCH 1020,3.3327,,,
,CHECKPOINT BATCH 1025,3.6050,,,
,CHECKPOINT BATCH 1030,3.1917,,,
,CHECKPOINT BATCH 1035,2.8354,,,
18:01:32,1037,2.6006,0.2490,1068,0.9064
,CHECKPOINT BATCH 1040,3.2078,,,
,CHECKPOINT BATCH 1045,2.2767,,,
,CHECKPOINT BATCH 1050,3.3807,,,
,CHECKPOINT BATCH 1055,2.0044,,,
18:01:34,1056,6.3752,0.9480,1087,0.9048
,CHECKPOINT BATCH 1060,3.4717,,,
,CHECKPOINT BATCH 1065,3.3243,,,
,CHECKPOINT BATCH 1070,3.2253,,,
18:01:36,1075,5.3797,1.1795,1106,0.9032
,CHECKPOINT BATCH 1075,5.3797,,,
,CHECKPOINT BATCH 1080,3.6920,,,
,CHECKPOINT BATCH 1085,3.4508,,,
,CHECKPOINT BATCH 1090,5.5376,,,
18:01:38,1094,6.5690,1.3440,1125,0.9016
,CHECKPOINT BATCH 1095,4.2033,,,
,CHECKPOINT BATCH 1100,5.7223,,,
,CHECKPOINT BATCH 1105,3.2776,,,
,CHECKPOINT BATCH 1110,4.8358,,,
18:01:40,1113,2.8847,2.4700,1144,0.8999
,CHECKPOINT BATCH 1115,3.6531,,,
,CHECKPOINT BATCH 1120,6.0600,,,
,CHECKPOINT BATCH 1125,3.8105,,,
,CHECKPOINT BATCH 1130,4.1486,,,
18:01:42,1132,3.9154,3.4650,1163,0.8983
,CHECKPOINT BATCH 1135,5.0405,,,
18:01:45,1139,5.2682,3.3075,1170,0.8977
,CHECKPOINT BATCH 1140,5.4293,,,
