912,18.0015,880
910.82,18.0115,880
909.379,18.0066,880
908.171,18.0114,880
906.608,18.0121,880
904.93,18.0087,880
902.855,18.0083,880
901.806,18.0096,880
900.7,18.0108,880
899.339,18.0113,880
898.111,18.0109,880
896.826,18.01,880
895.485,18.0084,880
894.088,18.0026,880
892.637,17.9863,880
891.132,17.9526,880
889.303,17.8733,880
887.666,17.7603,880
885.699,17.5779,880
884.001,17.3904,880
882.292,17.1836,880
880.573,16.9628,880
878.841,16.7275,880
877.068,16.4689,880
874.932,16.1288,880
873.043,15.8003,880
871.099,15.4385,880
868.76,14.9809,880
866.694,14.5655,880
864.568,14.1352,880
862.382,13.6942,880
860.134,13.2468,880
857.824,12.8,880
855.049,12.2849,880
852.601,11.8617,880
849.666,11.3981,880
847.082,11.0374,879.985
844.441,10.7185,879.926
841.752,10.4488,879.778
839.053,10.2392,879.513
836.359,10.0998,879.128
833.229,10.0189,878.526
830.545,10.0185,877.872
827.872,10.0288,877.063
824.773,10.0353,875.927
822.132,10.035,874.805
819.504,10.0329,873.559
816.9,10.0289,872.18
814.345,10.0271,870.642
811.862,10.0288,868.927
809.133,10.0328,866.733
806.992,10.0361,864.726
805.043,10.0429,862.614
803.02,10.0478,860.035
801.506,10.0468,857.743
800.202,10.0415,855.39
799.109,10.0374,852.993
798.233,10.0345,850.567
797.571,10.0345,848.13
797.069,10.037,845.296
796.864,10.0386,842.867
796.859,10.0371,840.396
797.032,10.0344,837.893
797.419,10.03,834.942
797.858,10.0219,832.386
798.366,10.0129,829.803
798.893,10.0088,827.184
799.427,10.0129,824.529
799.961,10.0214,821.41
800.277,10.0298,818.776
800.435,10.0381,816.183
800.402,10.0452,813.222
800.179,10.0457,810.75
799.765,10.0401,808.301
799.147,10.0324,805.859
798.317,10.0275,803.443
797.08,10.0314,800.684
795.793,10.038,798.392
794.033,10.0443,795.829
792.311,10.0455,793.747
790.401,10.0437,791.788
788.315,10.04,789.964
786.081,10.0337,788.263
783.723,10.0265,786.667
780.859,10.0179,784.89
778.33,10.0122,783.409
775.743,10.0101,781.949
772.664,10.0125,780.254
769.976,10.0166,778.8
767.25,10.0206,777.337
764.485,10.023,775.863
761.682,10.0228,774.376
758.844,10.0204,772.873
755.969,10.0175,771.353
752.584,10.0162,769.534
749.677,10.0183,767.901
746.801,10.0225,766.158
743.528,10.0343,763.944
740.819,10.0443,761.873
738.22,10.049,759.635
735.747,10.0476,757.227
733.419,10.0426,754.651
731.251,10.0371,751.912
728.943,10.0339,748.521
727.173,10.0348,745.458
725.604,10.0382,742.264
724.243,10.0425,738.953
722.893,10.0505,734.971
721.895,10.1239,731.474
721.011,10.3127,727.919
720.243,10.6345,724.343
719.58,11.0609,720.745
719.066,11.587,717.13
718.672,12.2974,712.899
718.496,12.9734,709.269
718.43,13.6856,705.641
718.444,14.5313,701.408
718.507,15.2548,697.779
718.597,15.9573,694.148
718.701,16.5905,690.514
718.818,17.1387,686.878
718.955,17.6636,682.642
719.073,18.0154,679.018
719.19,18.277,675.4
719.326,18.4681,671.187
719.441,18.5342,667.604
719.554,18.5111,664.093
719.665,18.3997,660.655
719.789,18.203,657.287
720.001,18.0696,653.969
720.263,18.0325,650.16
720.483,18.0156,646.99
720.7,18.005,643.883
720.95,17.9535,640.345
721.159,17.8232,637.382
721.365,17.6074,634.479
721.566,17.308,631.637
721.763,16.9265,628.853
721.955,16.4647,626.126
722.175,15.8266,623.016
722.36,15.1963,620.41
722.541,14.4907,617.858
722.718,13.7113,615.358
722.891,12.8598,612.911
723.089,11.7769,610.118
723.255,10.7739,607.779
723.417,9.70324,605.488
723.574,9.08432,603.368
723.746,8.65657,601.065
723.94,8.05548,598.34
724.059,8.20484,596.076
724.19,8.27529,593.567
724.295,8.27362,591.497
724.393,8.22184,589.497
724.485,8.12431,587.562
724.572,8.03592,585.681
724.671,8.08591,583.492
724.749,8.04048,581.631
724.818,8.0187,579.805
724.897,8.01628,577.734
724.963,8.00919,576.001
725.03,8.01789,574.303
725.096,8.01977,572.636
725.161,8.01704,570.999
725.224,8.01245,569.394
725.285,8.00865,567.821
725.354,8.00836,566.026
725.412,8.01018,564.521
725.478,8.01369,562.804
725.532,8.01656,561.365
725.586,8.01796,559.955
725.639,8.01762,558.572
725.691,8.01579,557.217
